ronda,tasa_A,tasa_B,diferencia
1,100.0,100.0,0.0
2,100.0,100.0,0.0
3,100.0,100.0,0.0
4,100.0,100.0,0.0
5,100.0,100.0,0.0
6,100.0,83.33,16.67
7,100.0,71.43,28.569999999999993
8,100.0,62.5,37.5
9,100.0,66.67,33.33
10,100.0,70.0,30.0
11,100.0,72.72999999999999,27.27000000000001
12,100.0,66.67,33.33
13,100.0,69.23,30.769999999999996
14,100.0,71.43,28.569999999999993
15,100.0,73.33,26.67
16,100.0,75.0,25.0
17,100.0,76.47,23.53
18,100.0,77.78,22.22
19,100.0,78.95,21.049999999999997
20,100.0,80.0,20.0
